11.1;.050621;.081684;.21725;.985;.086;.016;.758;19.609163
11.2;.048992;.081109;.217729;.985;.086;.016;.755;19.611676
11.3;.049087;.079959;.219263;.985;.086;.016;.727;19.613405
11.4;.051101;.078329;.221468;.985;.086;.016;.738;19.61396
11.5;.054456;.076603;.224153;.985;.086;.016;.714;19.613111
11.6;.058579;.075069;.226837;.985;.086;.016;.757;19.610822
11.7;.062797;.073919;.229234;.985;.086;.016;.771;19.60748
11.8;.066632;.073152;.231248;.985;.086;.016;.797;19.603715
11.9;.069988;.072768;.232973;.969;.024;-.021;.799;19.89575
12.;.071905;.07296;.234028;.969;.024;-.021;.834;19.892761
12.1;.072289;.073631;.234603;.969;.024;-.021;.825;19.89123
12.2;.071042;.074782;.234891;.969;.024;-.021;.848;19.891308
12.3;.068262;.076316;.23537;.969;.024;-.021;.829;19.892857
12.4;.064044;.078137;.236137;.969;.024;-.021;.851;19.895613
12.5;.058771;.080055;.237384;.969;.024;-.021;.821;19.89904
12.6;.053114;.08178;.239397;.969;.024;-.021;.813;19.902559
12.7;.047841;.083218;.242081;.969;.024;-.021;.774;19.905494
12.8;.04391;.083985;.245341;.969;.024;-.021;.79;19.907807
12.9;.041609;.08389;.249368;.915;-.272;.16;.749;19.72076
13.;.041513;.082739;.253203;.915;-.272;.16;.75;19.722733
13.1;.042951;.080726;.256846;.915;-.272;.16;.73;19.724787
13.2;.046499;.078233;.259626;.915;-.272;.16;.739;19.725572
13.3;.051292;.075836;.26116;.915;-.272;.16;.714;19.724594
13.4;.056949;.073919;.261448;.915;-.272;.16;.73;19.721387
13.5;.062606;.07296;.260777;.915;-.272;.16;.726;19.716103
13.6;.067208;.073056;.259722;.915;-.272;.16;.768;19.710068
13.7;.069509;.073919;.258955;.915;-.272;.16;.77;19.705711
13.8;.069317;.075261;.258859;.915;-.272;.16;.807;19.703998
13.9;.066632;.076507;.259722;.861;.029;.209;.796;19.578887
14.;.062126;.077178;.26164;.861;.029;.209;.815;19.583563
14.1;.056278;.076795;.264324;.861;.029;.209;.784;19.590932
14.2;.04995;.075357;.267776;.861;.029;.209;.794;19.599672
14.3;.044485;.072768;.271515;.861;.029;.209;.759;19.6085
14.4;.039884;.069221;.275445;.861;.029;.209;.761;19.617257
14.5;.037103;.06529;.278897;.861;.029;.209;.738;19.624553
14.6;.035953;.061359;.281869;.861;.029;.209;.748;19.630271
14.7;.036049;.057428;.284745;.861;.029;.209;.728;19.634792
14.8;.03672;.054169;.28743;.861;.029;.209;.736;19.637887
14.9;.037583;.051005;.290881;.775;-.195;-.125;.731;19.740327
15.;.038062;.047745;.294908;.775;-.195;-.125;.742;19.743149
15.1;.038158;.043814;.299893;.775;-.195;-.125;.724;19.746633
15.2;.038158;.039117;.305358;.775;-.195;-.125;.735;19.750482
15.3;.03835;.033939;.310535;.775;-.195;-.125;.737;19.754074
15.4;.038733;.028187;.315041;.775;-.195;-.125;.76;19.757313
15.5;.039308;.023201;.318109;.775;-.195;-.125;.742;19.759401
15.6;.039692;.019367;.319547;.775;-.195;-.125;.746;19.760715
15.7;.039404;.017353;.319739;.775;-.195;-.125;.742;19.76167
15.8;.038158;.017545;.318876;.775;-.195;-.125;.749;19.76256
15.9;.035857;.020229;.317342;.949;.025;.103;.72;19.83568
16.;.033076;.025311;.315904;.949;.025;.103;.75;19.835286
16.1;.029913;.031926;.315233;.949;.025;.103;.743;19.833507
16.2;.025982;.040075;.316096;.949;.025;.103;.74;19.829865
16.3;.022147;.047841;.318589;.949;.025;.103;.718;19.824923
16.4;.018695;.055032;.322999;.949;.025;.103;.73;19.818982
16.5;.017353;.060592;.329135;.949;.025;.103;.69;19.813084
16.6;.018695;.064044;.335558;.949;.025;.103;.701;19.808338
16.7;.022626;.065674;.342461;.949;.025;.103;.688;19.804633
16.8;.028379;.065674;.348214;.949;.025;.103;.712;19.801727
16.9;.035377;.064523;.353103;1.006;-.246;.05;.697;19.863617
17.;.042184;.062893;.356075;1.006;-.246;.05;.735;19.860436
17.1;.048225;.061455;.35713;1.006;-.246;.05;.719;19.856788
17.2;.053689;.060688;.356075;1.006;-.246;.05;.745;19.852186
17.3;.058004;.061263;.353295;1.006;-.246;.05;.733;19.846701
17.4;.061455;.063373;.349077;1.006;-.246;.05;.765;19.839994
17.5;.06366;.067016;.344379;1.006;-.246;.05;.737;19.832536
